order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213
75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196
